,pred
2024-02-05,171.09375
2024-02-06,171.09375
2024-02-07,171.09375
2024-02-08,171.09375
2024-02-09,171.09375
2024-02-10,171.09375
2024-02-11,171.09375
2024-02-12,165.21729166666668
2024-02-13,165.21729166666668
2024-02-14,165.21729166666668
2024-02-15,165.21729166666668
2024-02-16,165.21729166666668
2024-02-17,165.21729166666668
2024-02-18,165.21729166666668
2024-02-19,233.04579166666667
2024-02-20,233.04579166666667
2024-02-21,233.04579166666667
2024-02-22,233.04579166666667
2024-02-23,233.04579166666667
2024-02-24,233.04579166666667
2024-02-25,233.04579166666667
2024-02-26,181.69391666666664
2024-02-27,181.69391666666664
2024-02-28,181.69391666666664
2024-02-29,181.69391666666664
2024-03-01,181.69391666666664
2024-03-02,181.69391666666664
2024-03-03,181.69391666666664
2024-03-04,313.9170833333333
2024-03-05,313.9170833333333
2024-03-06,313.9170833333333
2024-03-07,313.9170833333333
2024-03-08,313.9170833333333
2024-03-09,313.9170833333333
2024-03-10,313.9170833333333
2024-03-11,354.9591666666667
2024-03-12,354.9591666666667
2024-03-13,354.9591666666667
2024-03-14,354.9591666666667
2024-03-15,354.9591666666667
2024-03-16,354.9591666666667
2024-03-17,354.9591666666667
2024-03-18,334.21791666666667
2024-03-19,334.21791666666667
2024-03-20,334.21791666666667
2024-03-21,334.21791666666667
2024-03-22,334.21791666666667
2024-03-23,334.21791666666667
2024-03-24,334.21791666666667
2024-03-25,253.49625
2024-03-26,253.49625
2024-03-27,253.49625
2024-03-28,253.49625
2024-03-29,253.49625
2024-03-30,253.49625
2024-03-31,253.49625
2024-04-01,301.985
2024-04-02,301.985
2024-04-03,301.985
2024-04-04,301.985
2024-04-05,301.985
2024-04-06,301.985
2024-04-07,301.985
2024-04-08,339.2579166666667
2024-04-09,339.2579166666667
2024-04-10,339.2579166666667
2024-04-11,339.2579166666667
2024-04-12,339.2579166666667
2024-04-13,339.2579166666667
2024-04-14,339.2579166666667
2024-04-15,228.20166666666668
2024-04-16,228.20166666666668
2024-04-17,228.20166666666668
2024-04-18,228.20166666666668
2024-04-19,228.20166666666668
2024-04-20,228.20166666666668
2024-04-21,228.20166666666668
2024-04-22,122.41250000000001
2024-04-23,122.41250000000001
2024-04-24,122.41250000000001
2024-04-25,122.41250000000001
2024-04-26,122.41250000000001
2024-04-27,122.41250000000001
2024-04-28,122.41250000000001
